log_date,user_id,user.type,payment
2013-06,379,existing,0.0
2013-06,381,existing,0.0
2013-06,385,existing,0.0
2013-06,390,existing,0.0
2013-06,391,existing,0.0
2013-06,392,existing,0.0
2013-06,393,existing,0.0
2013-06,395,existing,0.0
2013-06,396,existing,0.0
2013-06,397,existing,0.0
2013-06,398,existing,0.0
2013-06,399,existing,0.0
2013-06,401,existing,0.0
2013-06,403,existing,3330.0
2013-06,404,existing,0.0
2013-06,408,existing,0.0
2013-06,412,existing,0.0
2013-06,414,existing,0.0
2013-06,418,existing,0.0
2013-06,421,existing,0.0
2013-06,422,existing,0.0
2013-06,423,existing,0.0
2013-06,424,existing,0.0
2013-06,425,existing,0.0
2013-06,426,existing,0.0
2013-06,429,existing,0.0
2013-06,434,existing,0.0
2013-06,435,existing,28080.0
2013-06,438,existing,0.0
2013-06,441,existing,0.0
2013-06,442,existing,0.0
2013-06,444,existing,0.0
2013-06,445,existing,0.0
2013-06,446,existing,0.0
2013-06,449,existing,0.0
2013-06,452,existing,0.0
2013-06,455,existing,0.0
2013-06,456,existing,0.0
2013-06,457,existing,0.0
2013-06,458,existing,0.0
2013-06,459,existing,0.0
2013-06,460,existing,5710.0
2013-06,464,existing,0.0
2013-06,465,existing,0.0
2013-06,467,existing,0.0
2013-06,469,existing,0.0
2013-06,470,existing,0.0
2013-06,475,existing,0.0
2013-06,476,existing,0.0
2013-06,481,existing,0.0
2013-06,483,existing,0.0
2013-06,484,existing,0.0
2013-06,486,existing,0.0
2013-06,491,existing,0.0
2013-06,495,existing,0.0
2013-06,496,existing,0.0
2013-06,497,existing,1620.0
2013-06,499,existing,0.0
2013-06,500,existing,0.0
2013-06,501,existing,0.0
2013-06,503,existing,0.0
2013-06,504,existing,0.0
2013-06,509,existing,0.0
2013-06,514,existing,0.0
2013-06,515,existing,0.0
2013-06,517,existing,0.0
2013-06,518,existing,0.0
2013-06,522,existing,0.0
2013-06,524,existing,0.0
2013-06,529,existing,0.0
2013-06,531,existing,0.0
2013-06,533,existing,0.0
2013-06,534,existing,0.0
2013-06,535,existing,810.0
2013-06,536,existing,0.0
2013-06,538,existing,0.0
2013-06,541,existing,0.0
2013-06,542,existing,0.0
2013-06,548,existing,0.0
2013-06,551,existing,0.0
2013-06,553,existing,0.0
2013-06,555,existing,0.0
2013-06,558,existing,0.0
2013-06,560,existing,0.0
2013-06,561,existing,0.0
2013-06,562,existing,0.0
2013-06,565,existing,0.0
2013-06,566,existing,0.0
2013-06,568,existing,0.0
2013-06,569,existing,0.0
2013-06,570,existing,0.0
2013-06,572,existing,0.0
2013-06,573,existing,0.0
2013-06,577,existing,0.0
2013-06,579,existing,0.0
2013-06,580,existing,0.0
2013-06,583,existing,0.0
2013-06,584,existing,0.0
2013-06,585,existing,0.0
2013-06,586,existing,0.0
2013-06,590,existing,0.0
2013-06,591,existing,0.0
2013-06,592,existing,0.0
2013-06,593,existing,0.0
2013-06,596,existing,0.0
2013-06,599,existing,0.0
2013-06,602,existing,0.0
2013-06,606,existing,0.0
2013-06,610,existing,0.0
2013-06,613,existing,0.0
2013-06,616,existing,0.0
2013-06,621,existing,0.0
2013-06,623,existing,0.0
2013-06,624,existing,0.0
2013-06,625,existing,0.0
2013-06,630,existing,0.0
2013-06,634,existing,0.0
2013-06,636,existing,0.0
2013-06,640,existing,0.0
2013-06,642,existing,0.0
2013-06,645,existing,0.0
2013-06,646,existing,0.0
2013-06,648,existing,0.0
2013-06,654,existing,0.0
2013-06,659,existing,0.0
2013-06,665,existing,0.0
2013-06,668,existing,0.0
2013-06,669,existing,0.0
2013-06,670,existing,0.0
2013-06,671,existing,0.0
2013-06,673,existing,0.0
2013-06,675,existing,0.0
2013-06,680,existing,0.0
2013-06,685,existing,0.0
2013-06,690,existing,0.0
2013-06,693,existing,0.0
2013-06,700,existing,0.0
2013-06,701,existing,0.0
2013-06,702,existing,0.0
2013-06,703,existing,0.0
2013-06,705,existing,0.0
2013-06,711,existing,5710.0
2013-06,713,existing,0.0
2013-06,714,existing,0.0
2013-06,715,existing,0.0
2013-06,719,existing,0.0
2013-06,723,existing,0.0
2013-06,726,existing,0.0
2013-06,733,existing,0.0
2013-06,734,existing,15430.0
2013-06,737,existing,0.0
2013-06,739,existing,0.0
2013-06,740,existing,0.0
2013-06,742,existing,0.0
2013-06,744,existing,0.0
2013-06,747,existing,0.0
2013-06,750,existing,0.0
2013-06,756,existing,0.0
2013-06,759,existing,0.0
2013-06,761,existing,0.0
2013-06,764,existing,0.0
2013-06,766,existing,0.0
2013-06,767,existing,0.0
2013-06,768,existing,0.0
2013-06,770,existing,0.0
